SNAC ID	ARK ID	TriCo ID	ImgSrc	ImgAttr	Mntns	HuntMntns	EvansMntns
85564628	w6xx5995				40	40	
85664290	w6mh8f3b				1	1	
85547666	w6553d40				8	8	
85617214	w6xt6kzb				24	24	
85513426	w6jj4bpx				29	29	
85566518	w6q924kg				24	24	
85566596	w6fs0n6b				29	29	
21677441	w63j7f09		https://upload.wikimedia.org/wikipedia/commons/e/e2/CharronDet.jpg		23	23	
85664639	w6912v93				28	28	
85688693	w6cp7vj9				2	2	
85688369	w61d2nhm				18	18	
85689129	w6gg1k3r				5	5	
85567755	w61h1brp				25	25	
15248318	w6d59f93				26	26	
85568358	w6r31rzq				22	22	
85578553	w66z02ks				23	23	
85578809	w6rk58z8				24	24	
21001667	w64r0gvn				24	23	1
85585690	w6rg6kkd				17	17	
85588035	w67f3kpm				19	19	
85585645	w6mt4j9v				19	19	
85585714	w6bd4q25				24	24	
85586547	w6g55ftx				13	13	
85610409	w63s1jcm				13	13	
2579218	w6tq8ftp				31	31	
85610538	w6qk87tw				1	1	
85589274	w6010spn				22	22	
85589327	w6jr1rg4				18	18	
12632404	w66696rh	http://archives.tricolib.brynmawr.edu/agents/people/6613			22	22	
85593586	w66b7v3g				25	25	
85594035	w6t25v7b				18	18	
47146111	w6x098rs	http://archives.tricolib.brynmawr.edu/agents/people/9611			19	19	
11157948	w61p2c7g				18	18	
67558766	w65t3wn2	http://archives.tricolib.brynmawr.edu/agents/people/8848			22	21	1
41503579	w6h70g88				20	20	
85532454	w69h6c86				28	28	
85596371	w6zq4xpd				1	1	
85597121	w6kf2pgw				17	17	
42710532	w6cv5qpd				16	16	
85597130	w60h49r3				16	16	
85600321	w6vr3t5g				7	7	
57841013	w6qj9kc7	http://archives.tricolib.brynmawr.edu/agents/people/3223	https://digitalcollections.tricolib.brynmawr.edu/islandora/object/sc%3A112/datastream/TN		20	20	
85600347	w6c931wj				18	18	
85552141	w6hb9wqh				12	12	
85557519	w6kx66hw				1	1	
85832048	w66f6jrx				17	17	
13584587	w6wh3qkh	http://archives.tricolib.brynmawr.edu/agents/people/9072			17	17	
85564969	w6jn3260				2	2	
85597469	w6650f8c				1	1	
87642881	w66j594m				15	15	
85600366	w6r032ff				19	18	1
21526822	w6wf3zbk				14	14	
85600398	w6gg1k1v				9	9	
85600473	w6j20tr8				18	18	
85601164	w6q061bh				19	19	
85552155	w66v1c5g				15	15	
53708827	w69889m6	http://archives.tricolib.brynmawr.edu/agents/people/3148			12	12	
36928915	w6wh4nqv	http://archives.tricolib.brynmawr.edu/agents/people/16029			21	21	
85617623	w61m02bn				10	10	
85617724	w6sv8fbg				7	7	
85619475	w6p37ppz				2	2	
67782267	w6gj3q0h	http://archives.tricolib.brynmawr.edu/agents/people/9183			32	28	4
